"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Marc R Cohen ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Lloyd N Cutler ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Thomas J Delaney ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Michael S Helfer ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Marc R Mayers ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$20000","Swiss Bankers Assn"," Robert Pribble ","No Revolving Door Profiles","Non Former Members of Congress"
