"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$60000","Fremont Investors"," Donald C Alexander ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$60000","Fremont Investors"," Sean G D'Arcy ","Revolving Door Profiles","Non Former Members of Congress"
"Coopers & Lybrand","$60000","Fremont Group"," Gregory Jenner ","Revolving Door Profiles","Non Former Members of Congress"
"Coopers & Lybrand","$60000","Fremont Group"," Jeff Kummer ","No Revolving Door Profiles","Non Former Members of Congress"
"Coopers & Lybrand","$60000","Fremont Group"," Sam Starr ","No Revolving Door Profiles","Non Former Members of Congress"
"PricewaterhouseCoopers","$20000","Fremont Group"," Gregory Jenner ","Revolving Door Profiles","Non Former Members of Congress"
"PricewaterhouseCoopers","$20000","Fremont Group"," Jeff Kummer ","No Revolving Door Profiles","Non Former Members of Congress"
"PricewaterhouseCoopers","$20000","Fremont Group"," Sam Starr ","No Revolving Door Profiles","Non Former Members of Congress"
