"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Association of Banks-In-Insurance","$60000",""," E Kenneth Reynolds ","No Revolving Door Profiles","Non Former Members of Congress"
"McIntyre Law Firm","$80000","Association of Banks-In-Insurance"," James T McIntyre ","Revolving Door Profiles","Non Former Members of Congress"
