"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Rasky Baerlein Strategic Communications","$90000","Live Oak Bank"," Bethany Bassett ","Revolving Door Profiles","Non Former Members of Congress"
"Rasky Baerlein Strategic Communications","$90000","Live Oak Bank"," David Tamasi ","Revolving Door Profiles","Non Former Members of Congress"
"Rasky Baerlein Strategic Communications","$90000","Live Oak Bank"," Alexandra Wich ","Revolving Door Profiles","Non Former Members of Congress"
