"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"JDM Public Strategies","$70000","Council of Development Finance Agencies"," Eric Silva ","Revolving Door Profiles","Non Former Members of Congress"
