"Subsidiary","Total"
"California Bankers Assn","$200000"
"New York Bankers Assn","$140000"
"American Bankers Assn Securities Assn","$120000"
"American Bankers Insurance Assn","$120000"
"Pennsylvania Bankers Assn","$109181"
"Kentucky Bankers Assn","$20000"
"Florida Bankers Assn","$0"
"Massachusetts Bankers Assn","$0"
