"Subsidiary","Total"
"California Dept of Justice","$120000"
"California Dept of Education","$80000"
"California State Board of Equalization","$80000"
"Santa Ana Unified School District","$80000"
"California Attorney General's Office","$40000"
"California State Lands Commission","$40000"
"Port of Sacramento","$20000"
"California Dept of Insurance","$0"
"California Franchise Tax Board","$0"
"California State Senate","$0"
"California Tax Credit Allocation Cmte","$0"
