"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Dawn Callaghan ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Alison Crombie ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Kenneth A Guenther ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Richard Gupton ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," John H Hanley ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$489802",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Morrison Public Affairs Group","$40000","Independent Community Bankers of America"," Bruce A Morrison ","Revolving Door Profiles","Former Members of Congress"
"Pace LLP","$70000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
