"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"AFSA Data Corp","$40000",""," Mary F Bushman ","No Revolving Door Profiles","Non Former Members of Congress"
"Bingham McCutchen LLP","$40000","FleetBoston Financial"," William H Boger ","Revolving Door Profiles","Non Former Members of Congress"
"Bingham McCutchen LLP","$40000","FleetBoston Financial"," Paul S Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$540000",""," Christian M Abeel ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$540000",""," Joseph Gianni ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$540000",""," Deirdre Briggs Phillips ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$540000",""," Agnes Bundy Scanlon ","No Revolving Door Profiles","Non Former Members of Congress"
