"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Carmen Group","$60000","US Bancorp"," Beau Boulter ","Revolving Door Profiles","Former Members of Congress"
"Carmen Group","$60000","US Bancorp"," Gerald P Carmen ","No Revolving Door Profiles","Non Former Members of Congress"
"Fleishman-Hillard Inc","$40000","US Bancorp"," Bruce A Morrison ","Revolving Door Profiles","Former Members of Congress"
"US Bancorp","$0",""," Angela Tangen ","No Revolving Door Profiles","Non Former Members of Congress"
