"Subsidiary","Total"
"New York Bankers Assn","$180000"
"American Bankers Insurance Assn","$120000"
"American Bankers Assn Securities Assn","$107000"
"Pennsylvania Bankers Assn","$68870"
"California Bankers Assn","$60000"
"Kentucky Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
