"Subsidiary","Total"
"American Bankers Insurance Assn","$220000"
"New York Bankers Assn","$140000"
"Pennsylvania Bankers Assn","$116962"
"American Bankers Assn Securities Assn","$80000"
"Florida Bankers Assn","$0"
"Kentucky Bankers Assn","$0"
"Puerto Rican Bankers Assn","$0"
